iter	Passed	Remaining
0	6	611
1	12	565
2	19	552
3	25	541
4	31	531
5	38	538
6	44	529
7	50	518
8	56	509
9	62	501
10	68	493
11	75	489
12	81	482
13	88	478
14	94	471
15	100	465
16	106	459
17	113	452
18	119	446
19	125	440
20	131	433
21	138	426
22	144	419
23	150	413
24	156	407
25	163	401
26	169	395
27	175	389
28	181	382
29	187	375
30	193	368
31	199	361
32	205	355
33	211	348
34	217	341
35	223	335
36	229	329
37	235	322
38	242	316
39	248	310
40	254	304
41	260	297
42	266	291
43	272	285
44	278	278
45	284	272
46	290	265
47	296	259
48	302	253
49	308	246
50	314	240
51	321	234
52	327	228
53	333	222
54	339	216
55	345	209
56	351	203
57	357	197
58	364	191
59	370	185
60	377	179
61	383	173
62	389	167
63	395	160
64	401	154
65	407	148
66	414	142
67	420	136
68	427	130
69	433	123
70	439	117
71	445	111
72	451	105
73	457	98
74	463	92
75	469	86
76	474	80
77	481	74
78	486	67
79	492	61
80	498	55
81	504	49
82	510	43
83	516	36
84	522	30
85	528	24
86	535	18
87	541	12
88	548	6
89	554	0
